"HolderAddress","Balance","PendingBalanceUpdate"
"0x00000000008c4fb1c916e0c88fd4cc402d935e7d","2E-09","No"
"0x0000000009a2265b720031d400866266aa6c87be","1E-09","No"
"0x00000000726422a6fecb4759b44d47e48cf746aa","2E-09","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","1.1E-08","No"
"0x000000a60073b3ab5258ec72f46c002ad912ed76","1E-09","No"
"0x02c51cc33e59a62ccd1c4c0c8ac23f2a0d77d510","5.71E-07","No"
"0x03c68951369044d644f09b3f88f2ac9c94c94f17","8.04E-07","No"
"0x0738031dd9329dc4452e20696afcd234f8cf7529","4.47E-07","No"
"0x073fdaaa069dff450a7fc675c4e1446accdd0a09","0.05979595","No"
"0x076bc6f2a9650b3716f5b3c0ad38241fe8582f35","0.092682701","No"
"0x0f11a6814a36c20d19d0259169807c2b2c95a9b5","0.075087473","No"
"0x120a634d360c163f4fb9c78793fdc6d971a41012","5.368E-06","No"
"0x1458f81254fb1c1f7468c85ddae3fdb8c1f62b6c","0.042048668","No"
"0x156c21171d74157b60e4f2c588c935af1dc42195","6.1E-08","No"
"0x17e8452cc16e4230709c7585f0684cd804bd6fda","5.46E-07","No"
"0x1b4ecfed6cbdfd69ee111ba20fbb9ca7820885ee","1.697E-06","No"
"0x1bc1ba41156c4b2cf194d3006ba59bd142c2b55b","4378.180547312","No"
"0x1e1bd097ca8b461ade0952b6d01d83b37c56ebec","2.62E-07","No"
"0x1e531d6a5fe8da13a0f01670a578117f6bc177c5","2.055797806","No"
"0x206ce8a9ef6b23fb4baa27e34463d99e81a7fdb2","8.000009592","No"
"0x211d17c4f3ff91ac94a77d3202ae63ef5f63ab17","0.086499035","No"
"0x232e454884af19e033dc7bad3ff7891dc4ff14d2","9.03E-07","No"
"0x29cd4c31a9b5cb4366a64180c4092d99ac2400f1","0.503115581","No"
"0x2b19bb673f9415215414b84fe6c9c0ef6b549f61","8.75E-07","No"
"0x2b9a8bfeb6023a294d6517e970b7c5de588598ac","1.14E-07","No"
"0x2cc312f73f34bcdada7d7589cb3074c7dc06ebe9","5.078E-06","No"
