"HolderAddress","Balance","PendingBalanceUpdate"
"0x6e24f6e66a6c9c86cf4c5c60b7bce7c73bfa6666","0.038253861","No"
"0x9f0b8d80009382527dbd292f21d0c4598ade972b","406.8944486","No"
"0x4a6bf7737b54195bfb72030d8f2bf7cf2b466dc3","503.67468","No"
"0x82a27801223d13d45fe261639f83a41272622da3","39.476196796","No"
"0x6cbe8bbd293df9070501f52850d0d5ad253c79e0","59.27920766","No"
"0xd126a14c9b491b5285c16ed9fdc74544a83dd483","25.4761346","No"
"0xe5e8880fafb9497338831c484534db05e1d69698","20.78319605","No"
"0xe0ba3b5993785177bab7eafa945eef46bb634131","18.12642117","No"
"0x67e75255331b9ee66b5c07dc6b1972ad76efc73c","17.84127338","No"
"0x19c061ed8653d2c7a1ae556b656dfdde61ed9525","17.53871619","No"
"0x394388c688c647b9ba9b65f2240508ff9ace0af6","17.38774797","No"
"0x114a1bf23c0f35b9d162bd032d77b879daab484b","14.29455553","No"
"0x106cd11e87b9e7344db3c817e8be18b036adf4ef","13.64557972","No"
"0x1e531d6a5fe8da13a0f01670a578117f6bc177c5","13.37198632","No"
"0x9fd7780115b421edf5eb041477061080d00da2c2","13.17731428","No"
"0x9be5624f007c91b638d829843d31a5247d9f2d6c","12.20321946","No"
"0x8ccef97219811727a2a8f39d75a186b6a5a3a44f","11.57782465","No"
"0x613dad58bf43b52fe31fc4aa01c2775b74da2c0a","11.23206118","No"
"0x3422f1e20074fe8a12a59c8288da83765361d058","14.0384983326906","No"
"0xc3f1f1980a9725717fa4c5018fcd349a550f0ea3","8.00003827","No"
"0xe698a8ad6f0c78521bbe1d49b6001bbefa0a2b39","10.44437044","No"
"0xad4e408e44cd02f35a69b541f7d5a2269c705368","10.36058092","No"
"0x4b9eb31d39db89c9a1e8d5077055bee69325238c","10.15599335","No"
"0xb9ec533a7a881d59353a180066c2c357810c23d8","2.000075","No"
"0xa34bdbb9903008c411f099051e476095ce6d8e70","9.694792035","No"
"0x5eb35dfe9ae9b57034f40c4f4367e71324540f90","5.599742257","No"
"0x684c5cd85bc40b6cb5e98bdd2161220273c9b4b4","9.211915374","No"
"0xd0ed643099041b805adec2e2af3329c06a20ffe6","14.4954784312252","No"
"0x9670d81c4d2743f2e8d2e2b4b3afecb075039b7b","8.777269427","No"
"0xef78be72198a4823333db56178d9106420b9361b","8.4637089","No"
"0xe62e2561fbb67334d41d5adbfb6a87bc5add1b13","8.413562684","No"
"0xb54628ed104d8507ae7b3c9fb296d9cf9c9a1f78","7.766915265","No"
"0xf025196eea9c854fc9aea37b2eca2482c3966bc8","7.719938726","No"
"0x5e783db31326e68e198ca15ff6d49bcfc91dc71d","7.673614358","No"
"0xce482d5da684ef91dbc7973312e8935fa8aa806d","7.563657847","No"
"0xb7adff23ebb82e3080d46ef456330b28b0942ed5","7.232975346","No"
"0x92da023cfceec6198340caf1069e28b6fb8744aa","7.101602005","No"
"0xa733d84970a5a00671964793d333b3bfea681407","7.069721003","No"
"0xa040b6cdaaa8a030d0da53d8bc2172d7bd940c1a","6.935262487","No"
"0xc6a37968f10187d0bf1af15875d01f89943ad5dc","6.934217138","No"
"0x3d112f1ef8fe3cbb1a7e65d621165575b7a9c818","6.766454398","No"
"0xb387fa9f8464020c45f3a40244e13365d394fb97","6.766450176","No"
"0x5845eddfb79bbe87f504ab31ab15f548e0f5d96d","6.76645","No"
"0x651d32209f5d4d29c123b8b9e2c3b409f1db261f","6.764255297","No"
"0xec00d5764e3a968afabb95e68ed869a3ba39e59d","6.739081675","No"
"0x2587a1ed4d3b574bb29f514c3be49a56aabe90ee","0.707390217","No"
"0x306a76cc320e12033902fbf0de2fc09f3dca0453","6.681714341","No"
"0x49c233d25768e462f0474390f653baf40dd592b2","6.452341964","No"
"0xa07002de9faadbca30abb4e76211f0f493da4e53","4.430135703","No"
"0x36a14d121502a711534b8a1418021b2eb34c24e9","6.425529438","No"
"0x3ccd007aecf3110c1e397a2d97d976b6b4305ea4","4.230515853","No"
"0xf2cdfb13b9e13446075841a4d06ef0e4f5cfe996","6.150757498","No"
"0x8633cdad3519139a5296f0f4e6fa1c31ea22ab54","6.029483686","No"
"0x01bacc9cdc5c6116549a5ed32d11ef631e4f3cd9","6.026415249","No"
"0x4fab58d22ff67bfd14245e44fc39402c10280926","5.994279174","No"
"0x167cc67a6e5125ad9e350cd09f809af8e67ce33f","5.818392866","No"
"0xd030de8edaa426edaa51837f57c11aea8776f58e","5.76234822","No"
"0xb86c7272b0bd201ca73a5810fa4e4a4b07d600aa","5.676556047","No"
"0x03f2709df0f6e76abe3bd02c8b9b8de0dc381e5e","5.538507871","No"
"0x16719455c3ef140e51c63c9f98ca27f5688a88c9","5.510295225","No"
"0x9886be4417989f33055fbd5322d1c30892adfb79","5.484003074","No"
"0xecd0b8a0e4df6604d56bd62c5d6c910f717db328","5.46624964","No"
"0x801d1e7b157be1dbcdb624f53899c7d202284d44","5.359794471","No"
"0x093f68d439f8fb6c0ec623bc26e5c5d64ee5d799","5.334474195","No"
"0xbe38d8649c101b1b84e59c5733e09c6b53d90f2e","5.309477181","No"
"0x4f0ff5e3b3fd17ebd3628f4da57b32c964baa5ab","5.294650372","No"
"0x0127f1855a0c5116c4720ef728000d7f003ca015","4.570031806","No"
"0xc349a7d9166c2b4048d1823b5543d940168304e2","5.231439097","No"
"0x932a1a65d23bd858ab770b551910e174048dd1b0","3.188077193","No"
"0x7802ed0a1c33044c4a9b9f2445226469354ac245","4.947589453","No"
"0xdb6e4fc4055490da7ad442f683550c8f112f58d4","4.752829703","No"
"0x45e4d61874d07e8d66da69efd4b652e75dd4ba1f","18.5532032358431","No"
"0x2234f2115ea27abe6276f56145f699ea5ea7d1f8","4.722091255","No"
"0x8a60d1d63d30237c433ef5dfb92d2be38b07789b","4.686903191","No"
"0x6c2edee302ab12919ff90e64431c3cba9418c207","4.554324456","No"
"0x6e752dcb0acb921c1fa446992c590a28661f27ca","4.465832488","No"
"0xe4c2592d7095c54f9154143cc5778ab8bfd66f9e","4.432258831","No"
